dataset_key,protocol,variant,label,model_key,model_label,family,n_rows,n_features,n_folds,r2_mean,r2_std,rmse_mean,rmse_std,mae_mean,mae_std,fit_seconds,available,unavailable_reason,vs_baseline_fraction_improved,vs_baseline_wilcoxon_p,vs_baseline_n_folds
p2_before,P2,before,identity-subscale proxy items excluded,improved_ann,Improved ANN (1-seed ensemble),ann,1929,191,5,0.22841848120992836,0.08525229188258718,12.03090828263393,0.7008045905585691,9.46993451301186,0.5209703929453451,25.609840000004624,True,,1.0,0.0625,5
p2_before,P2,before,identity-subscale proxy items excluded,stacking,Stacking (ridge + RF + XGBoost),ensemble,1929,191,25,0.2778697571849068,0.05026501161541334,11.653229734816778,0.5016361980757923,9.069830160391517,0.3689200957296281,525.8786607000002,True,,1.0,0.0625,5
p2_before,P2,before,identity-subscale proxy items excluded,crowd,Wisdom of the crowd,crowd,1929,191,0,,,,,,,1202.0480255000002,False,timeout: timed out after 1200s,,,0
p2_diff,P2,diff,identity-subscale proxy items excluded,original_ann,Original ANN (unchanged),ann,1012,142,5,-0.1000751488397789,0.06748195021399339,13.726414459434746,0.8891587583249086,10.333904681302695,0.4564606432826781,71.96050370000012,True,,,,0
p2_diff,P2,diff,identity-subscale proxy items excluded,mean,Mean predictor,baseline,1012,142,25,-0.007848458731535031,0.00898984784227787,13.13621172763722,0.850416964237419,9.78141642796223,0.518209868072882,1.7725410999992164,True,,1.0,0.0625,5
p2_diff,P2,diff,identity-subscale proxy items excluded,ridge,Ridge (CV alpha),linear,1012,142,25,0.012605443469493615,0.03149270112878699,12.997810841698982,0.8199159241904307,9.748582466266623,0.5175665523717073,2.5532571999938227,True,,1.0,0.0625,5
p2_diff,P2,diff,identity-subscale proxy items excluded,elastic_net,Elastic Net (CV alpha/l1_ratio),linear,1012,142,25,0.014048290159158143,0.01976665101517147,12.991258965152888,0.8357169523688337,9.700801595009592,0.50435696889978,39.502957899996545,True,,1.0,0.0625,5
p2_diff,P2,diff,identity-subscale proxy items excluded,random_forest,Random Forest,tree,1012,142,25,0.003916230990185672,0.035067641732030884,13.052521672299871,0.7990285009404253,9.766690655771036,0.4815583675521829,12.636795899998106,True,,1.0,0.0625,5
p2_diff,P2,diff,identity-subscale proxy items excluded,xgboost,XGBoost (tuned),boosted,1012,142,25,-0.014659622784678108,0.048905437123515416,13.170102058766286,0.8038099624701996,9.834671943093236,0.498552432860704,353.1524119999958,True,,1.0,0.0625,5
p2_diff,P2,diff,identity-subscale proxy items excluded,improved_ann,Improved ANN (1-seed ensemble),ann,1012,142,5,-0.03323052932046684,0.031909496611909234,13.322842420776215,1.0467280062856805,9.943434339896601,0.625958618905828,24.239439299999503,True,,0.6,0.3125,5
p2_diff,P2,diff,identity-subscale proxy items excluded,stacking,Stacking (ridge + RF + XGBoost),ensemble,1012,142,25,0.011878376518300246,0.022949959556679965,13.0052924278602,0.8394087908581334,9.71683936664458,0.5141995693886586,411.88632099999813,True,,1.0,0.0625,5
p2_diff,P2,diff,identity-subscale proxy items excluded,crowd,Wisdom of the crowd,crowd,1012,142,5,-0.17757942519131248,0.09132491429242562,14.215985622911546,1.2213286856846826,10.781099001419914,0.8177029026280997,963.2650949000017,True,,0.4,0.3125,5
